family_id,family,implementation_status,planned_milestone,sources,hypothesis,information_availability,leakage_controls,predictive_test_status,decision,delta_macro_auc
F01,acquisition_coverage,implemented_not_executed,M01,S1,65 fixed count/presence/fraction descriptors; not independent predictive signals,Inference series descriptors,No labels/reports; fixed per-study construction,not_run,undecided,
F02,report_assertion_and_negation,proposed,M02,S1;S4,Explicit positive/negative/uncertain/unmentioned states and evidence spans,Training reports only,Gold-tuned extraction must be cross-fitted; no report at inference,not_run,undecided,
F03,multilingual_label_semantics,proposed,M02,S2,Terminology and uncertainty audit across languages,Training reports only,Unicode script is not language; no external report transfer,not_run,undecided,
F04,weak_label_confidence_and_masks,proposed,M02,S4,Compare missing-target masks and uncertainty policies,Training supervision,Do not turn missing expert labels into zeros,not_run,undecided,
F05,dicom_geometry_quality,proposed,M03,S5,"Spatial order, spacing consistency, orientation, missing/duplicate slices",Permitted DICOM fields,Do not exploit identifiers/site shortcuts,not_run,undecided,
F06,within_volume_intensity,proposed,M03,S3,Robust per-volume normalization versus training-fitted alternatives,MRI pixels,Population transforms trained only within training folds,not_run,undecided,
F07,slice_coverage_and_context,proposed,M04,S3,Uniform sampling and 2.5D neighboring-slice context,MRI pixels,Geometry before adjacency; paired compute budgets,not_run,undecided,
F08,complementary_planes,proposed,M04,S3,"Sagittal, coronal, axial additions and removals",MRI pixels plus plane metadata,Same split/encoder/optimization; missing-view masks,not_run,undecided,
F09,sequence_contrast_selection,proposed,M04,S1,Fluid-sensitive and fat-suppression selections and interactions,MRI pixels plus contrast metadata,Flags are distinct; no assumed synonymous sequences,not_run,undecided,
F10,global_local_multiscale,proposed,M05,S3;hypothesis,Local anatomical context added to whole-knee context,MRI pixels,Localizer learned on training only; verify crops,not_run,undecided,
F11,ligament_menisci_representations,proposed,M05,S1;hypothesis,Task-specific local image context for ligament and meniscal findings,MRI pixels,No hand-written diagnostic claims or unverified labels,not_run,undecided,
F12,compartment_cartilage_representations,proposed,M05,S1;hypothesis,Medial/lateral/patellofemoral compartment context,MRI pixels,Validate orientation; no unsupported side swapping,not_run,undecided,
F13,bone_marrow_and_fluid_context,proposed,M05,S1;hypothesis,Complementary global/local context for marrow and fluid-related targets,MRI pixels,Label-specific ablations; keep evaluation independent,not_run,undecided,
F14,training_only_image_report_alignment,proposed,M06,S1;hypothesis,Image/text representation alignment with image-only inference,Reports in training; pixels in inference,No held-out gold report tuning or prohibited transfers,not_run,undecided,
F15,missing_view_and_quality_robustness,proposed,M06,S1;S2,Missingness masks and degraded acquisition stress tests,MRI pixels plus permitted descriptors,No hidden-test tuning; audit shortcut reliance,not_run,undecided,
F16,domain_shift_representation_stability,proposed,M06,S2;S3,Quality/site variation where measurable and permissible,Training-only domain diagnostics,No reliable site identity assumed from UIDs,not_run,undecided,
F17,capacity_and_ensemble_complementarity,deferred_pending_evidence,Later,hypothesis,OOF residual diversity after feature evidence,Cross-fitted predictions,OOF calibration/weights; no repeated holdout tuning,not_run,undecided,
